episode,agent,reward,steps
119,agente_q,0.5599999999999998,45
120,agente_fixo,47.97,51
120,agente_q,0.4999999999999998,51
121,agente_fixo,21.97,25
121,agente_q,0.7599999999999999,25
122,agente_fixo,17.97,21
122,agente_q,0.7999999999999999,21
123,agente_fixo,4.97,8
123,agente_q,0.9299999999999999,8
124,agente_fixo,29.97,33
124,agente_q,0.6799999999999999,33
125,agente_fixo,32.97,36
125,agente_q,0.6499999999999999,36
126,agente_fixo,70.97,74
126,agente_q,0.2699999999999996,74
127,agente_fixo,1.97,5
127,agente_q,0.96,5
128,agente_fixo,7.97,11
128,agente_q,0.9,11
129,agente_fixo,66.97,70
129,agente_q,0.3099999999999996,70
130,agente_fixo,40.97,44
130,agente_q,0.5699999999999998,44
131,agente_fixo,57.97,61
131,agente_q,0.3999999999999997,61
132,agente_fixo,9.969999999999999,13
132,agente_q,0.88,13
133,agente_fixo,4.97,8
133,agente_q,0.9299999999999999,8
134,agente_fixo,17.97,21
134,agente_q,0.7999999999999999,21
135,agente_fixo,26.97,30
135,agente_q,0.71,30
136,agente_fixo,4.97,8
136,agente_q,0.9299999999999999,8
137,agente_fixo,27.97,31
137,agente_q,0.7,31
138,agente_fixo,15.969999999999999,19
138,agente_q,0.82,19
139,agente_fixo,89.97,93
139,agente_q,0.0799999999999994,93
140,agente_fixo,8.969999999999999,12
140,agente_q,0.89,12
141,agente_fixo,1.97,5
141,agente_q,0.96,5
142,agente_fixo,127.97,131
142,agente_q,-0.30000000000000093,131
143,agente_fixo,35.97,39
143,agente_q,0.6199999999999999,39
144,agente_fixo,11.969999999999999,15
144,agente_q,0.86,15
145,agente_fixo,29.97,33
145,agente_q,0.6799999999999999,33
146,agente_fixo,59.97,63
146,agente_q,0.37999999999999967,63
147,agente_fixo,17.97,21
147,agente_q,0.7999999999999999,21
148,agente_fixo,36.97,40
148,agente_q,0.6099999999999999,40
149,agente_fixo,25.97,29
149,agente_q,0.72,29
150,agente_fixo,8.969999999999999,12
150,agente_q,0.89,12
151,agente_fixo,18.97,22
151,agente_q,0.7899999999999999,22
152,agente_fixo,132.97,136
152,agente_q,-0.350000000000001,136
153,agente_fixo,92.97,96
153,agente_q,0.04999999999999938,96
154,agente_fixo,2.9699999999999998,6
154,agente_q,0.95,6
155,agente_fixo,37.97,41
155,agente_q,0.5999999999999999,41
156,agente_fixo,29.97,33
156,agente_q,0.6799999999999999,33
157,agente_fixo,6.97,10
157,agente_q,0.91,10
158,agente_fixo,150.97,154
158,agente_q,-0.5300000000000011,154
159,agente_fixo,16.97,20
159,agente_q,0.8099999999999999,20
160,agente_fixo,57.97,61
160,agente_q,0.3999999999999997,61
